awarding_agency_name,total_obligation
Department of Defense,360922037508.7587
Department of Veterans Affairs,70609072160.44002
Department of Energy,50261981352.61997
Department of Homeland Security,28339706586.16996
Department of Health and Human Services,26764713602.12992
General Services Administration,24692050320.21989
National Aeronautics and Space Administration,21205674138.60002
Department of Transportation,9875878883.24001
Department of Agriculture,9594317272.570004
Department of State,9480012331.380024
