naics_description,transaction_count,total_obligation
ENGINEERING SERVICES,78994,43368571777.65995
"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",46152,40629534443.430046
AIRCRAFT MANUFACTURING,27263,39710611637.17996
DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS,2056,38892220691.86001
FACILITIES SUPPORT SERVICES,32877,36497430688.53001
SHIP BUILDING AND REPAIRING,22707,33835160756.05002
COMPUTER SYSTEMS DESIGN SERVICES,44100,28798982952.53001
COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,40100,23328799524.98999
OTHER COMPUTER RELATED SERVICES,77327,22388172002.520058
GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,2652,22086739500.14
